COMUNE,data,positivi
Bisacquino,2020-10-29,31
Blufi,2020-10-29,0
Bolognetta,2020-10-29,30
Bompietro,2020-10-29,5
Borgetto,2020-10-29,10
Caccamo,2020-10-29,3
Caltavuturo,2020-10-29,1
Campofelice di Fitalia,2020-10-29,0
Campofelice di Roccella,2020-10-29,6
Campofiorito,2020-10-29,2
Camporeale,2020-10-29,2
Capaci,2020-10-29,17
Carini,2020-10-29,96
Castelbuono,2020-10-29,0
Casteldaccia,2020-10-29,14
Castellana Sicula,2020-10-29,1
Castronovo di Sicilia,2020-10-29,1
Cefalà  Diana,2020-10-29,14
Cefaù,2020-10-29,19
Cerda,2020-10-29,16
Chiusa Sclafani,2020-10-29,18
Ciminna,2020-10-29,17
Cinisi,2020-10-29,5
Collesano,2020-10-29,2
Contessa Entellina,2020-10-29,14
Corleone,2020-10-29,27
Ficarazzi,2020-10-29,47
Gangi,2020-10-29,0
Geraci Siculo,2020-10-29,0
Giardinello,2020-10-29,1
Giuliana,2020-10-29,4
Godrano,2020-10-29,2
Gratteri,2020-10-29,1
Isnello,2020-10-29,3
Isola delle Femmine,2020-10-29,22
Lascari,2020-10-29,22
Lercara Friddi,2020-10-29,9
Marineo,2020-10-29,19
Mezzojuso,2020-10-29,53
Misilmeri,2020-10-29,81
Monreale,2020-10-29,56
Montelepre,2020-10-29,10
Montemaggiore Belsito,2020-10-29,104
Palazzo Adriano,2020-10-29,6
Palermo,2020-10-29,2682
Partinico,2020-10-29,122
Petralia Soprana,2020-10-29,2
Petralia Sottana,2020-10-29,0
Piana degli Albanesi,2020-10-29,
Polizzi Generosa,2020-10-29,0
Pollina,2020-10-29,5
Prizzi,2020-10-29,0
Roccamena,2020-10-29,6
Roccapalumba,2020-10-29,0
San Cipirello,2020-10-29,26
San Giuseppe Jato,2020-10-29,38
San Mauro Castelverde,2020-10-29,0
Santa Cristina Gela,2020-10-29,
Santa Flavia,2020-10-29,25
Sciara,2020-10-29,0
Scillato,2020-10-29,0
Sclafani Bagni,2020-10-29,0
Termini Imerese,2020-10-29,50
Terrasini,2020-10-29,18
Torretta,2020-10-29,55
Trabia,2020-10-29,12
Trappeto,2020-10-29,2
Ustica,2020-10-29,
Valledolmo,2020-10-29,0
Ventimiglia di Sicilia,2020-10-29,0
Vicari,2020-10-29,4
Villabate,2020-10-29,35
Villafrati,2020-10-29,48
Alia,2020-10-30,3
Alimena,2020-10-30,26
Aliminusa,2020-10-30,4
Altavilla Milicia,2020-10-30,21
Altofonte,2020-10-30,26
Bagheria,2020-10-30,120
Balestrate,2020-10-30,9
Baucina,2020-10-30,19
Belmonte Mezzagno,2020-10-30,12
Bisacquino,2020-10-30,29
Blufi,2020-10-30,0
Bolognetta,2020-10-30,32
Bompietro,2020-10-30,5
Borgetto,2020-10-30,11
Caccamo,2020-10-30,3
Caltavuturo,2020-10-30,1
Campofelice di Fitalia,2020-10-30,0
Campofelice di Roccella,2020-10-30,6
Campofiorito,2020-10-30,2
Camporeale,2020-10-30,2
Capaci,2020-10-30,17
Carini,2020-10-30,96
Castelbuono,2020-10-30,0
Casteldaccia,2020-10-30,16
Castellana Sicula,2020-10-30,1
Castronovo di Sicilia,2020-10-30,1
Cefalà  Diana,2020-10-30,14
Cefaù,2020-10-30,19
Cerda,2020-10-30,16
Chiusa Sclafani,2020-10-30,17
Ciminna,2020-10-30,17
Cinisi,2020-10-30,5
Collesano,2020-10-30,2
Contessa Entellina,2020-10-30,16
Corleone,2020-10-30,21
Ficarazzi,2020-10-30,43
Gangi,2020-10-30,1
Geraci Siculo,2020-10-30,0
Giardinello,2020-10-30,1
Giuliana,2020-10-30,4
Godrano,2020-10-30,2
Gratteri,2020-10-30,1
Isnello,2020-10-30,3
Isola delle Femmine,2020-10-30,22
Lascari,2020-10-30,22
Lercara Friddi,2020-10-30,12
Marineo,2020-10-30,19
Mezzojuso,2020-10-30,53
Misilmeri,2020-10-30,81
Monreale,2020-10-30,56
Montelepre,2020-10-30,10
Montemaggiore Belsito,2020-10-30,104
Palazzo Adriano,2020-10-30,6
Palermo,2020-10-30,2853
Partinico,2020-10-30,131
Petralia Soprana,2020-10-30,2
Petralia Sottana,2020-10-30,0
Piana degli Albanesi,2020-10-30,
Polizzi Generosa,2020-10-30,3
Pollina,2020-10-30,5
Prizzi,2020-10-30,0
Roccamena,2020-10-30,6
Roccapalumba,2020-10-30,0
San Cipirello,2020-10-30,26
San Giuseppe Jato,2020-10-30,38
San Mauro Castelverde,2020-10-30,0
Santa Cristina Gela,2020-10-30,
Santa Flavia,2020-10-30,27
Sciara,2020-10-30,0
Scillato,2020-10-30,0
Sclafani Bagni,2020-10-30,0
Termini Imerese,2020-10-30,50
Terrasini,2020-10-30,18
Torretta,2020-10-30,55
Trabia,2020-10-30,12
Trappeto,2020-10-30,2
Ustica,2020-10-30,
Valledolmo,2020-10-30,0
Ventimiglia di Sicilia,2020-10-30,0
Vicari,2020-10-30,5
Villabate,2020-10-30,37
Villafrati,2020-10-30,23
Alia,2020-10-31,4
Alimena,2020-10-31,28
Aliminusa,2020-10-31,4
Altavilla Milicia,2020-10-31,21
Altofonte,2020-10-31,26
Bagheria,2020-10-31,121
Balestrate,2020-10-31,9
Baucina,2020-10-31,19
Belmonte Mezzagno,2020-10-31,14
Bisacquino,2020-10-31,29
Blufi,2020-10-31,0
Bolognetta,2020-10-31,32
Bompietro,2020-10-31,6
Borgetto,2020-10-31,10
Caccamo,2020-10-31,15
Caltavuturo,2020-10-31,1
Campofelice di Fitalia,2020-10-31,0
Campofelice di Roccella,2020-10-31,6
Campofiorito,2020-10-31,2
Camporeale,2020-10-31,2
Capaci,2020-10-31,19
Carini,2020-10-31,101
Castelbuono,2020-10-31,0
Casteldaccia,2020-10-31,16
Castellana Sicula,2020-10-31,2
Castronovo di Sicilia,2020-10-31,1
Cefalà  Diana,2020-10-31,14
Cefaù,2020-10-31,19
Cerda,2020-10-31,17
Chiusa Sclafani,2020-10-31,17
Ciminna,2020-10-31,14
Cinisi,2020-10-31,8
Collesano,2020-10-31,2
