Pro Com,Distretto,COMUNE,Residenti al 31/12/2019,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
82033,Corleone,Contessa Entellina,1608,5,7,7,8,6,6,,14,14,14,14,16,16,,17,17,16,14,,15,,15,15,15,14,15,16,,16,15,13,10,10,,10,7,7,7,7,7,7,,7,5,5,,5,5,,5,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82034,Corleone,Corleone,10855,34,30,29,30,29,29,,32,32,29,27,21,21,,21,21,23,26,,33,,38,38,38,39,39,40,,40,40,43,37,37,,37,39,39,41,41,40,40,,40,30,30,,30,18,,16,,16,16,18,17,,16,,15,22,22,24,,24,24,28,,,33,,,36,36,36
82035,Bagheria,Ficarazzi,13050,15,15,15,21,22,22,,39,39,39,47,43,43,,67,66,71,71,,75,,82,73,73,79,83,83,,87,99,99,100,109,,114,114,124,129,130,130,128,,123,128,127,,125,103,,110,,99,96,97,81,,81,,66,66,71,71,,70,85,81,,,69,,,61,61,69
82036,Petralia Sottana,Gangi,6464,0,0,0,0,0,0,,0,0,0,0,1,4,,4,5,5,5,,5,,5,5,6,6,6,6,,6,5,5,5,5,,8,14,13,16,16,15,15,,16,16,15,,15,14,,13,,12,10,12,10,,3,,5,5,5,4,,5,6,9,,,9,,,11,11,11
82037,Petralia Sottana,Geraci Siculo,1765,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,1,2,,2,6,6,6,6,,2,7,6,5,5,5,5,,5,5,6,,6,5,,3,,3,1,1,1,,1,,1,1,1,1,,1,1,1,,,1,,,1,1,1
82038,Partinico,Giardinello,2306,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,2,,2,,2,2,2,2,2,2,,2,2,2,1,1,,1,1,1,1,1,1,1,,1,3,3,,3,3,,3,,3,3,3,3,,3,,3,3,3,3,,3,3,3,,,3,,,3,3,9
82039,Corleone,Giuliana,1802,1,2,3,3,3,3,,3,3,4,4,4,4,,5,6,6,6,,6,,5,5,6,6,6,6,,6,6,3,3,3,,3,3,3,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,,1,,3,2,2,2,,2,2,3,,,3,,,2,2,2
82040,Misilmeri,Godrano,1122,2,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,2,,2,,2,2,2,2,2,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,,0,0,0,0,,0,,0,0,0,0,,0,0,0,,,0,,,0,0,0
82041,Cefalù,Gratteri,905,0,0,0,0,0,0,,0,1,1,1,1,1,,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,,1,1,,1,,1,4,4,4,,2,,1,1,1,1,,0,0,0,,,0,,,0,0,0
82042,Cefalù,Isnello,1418,0,0,0,0,0,0,,0,3,3,3,3,3,,3,3,3,4,,4,,3,3,3,3,3,3,,3,3,3,4,5,,3,3,1,1,1,3,3,,3,3,3,,3,3,,3,,3,3,3,3,,0,,1,1,1,1,,1,1,1,,,1,,,1,1,1
82043,Carini,Isola delle Femmine,7099,5,11,16,16,16,16,,23,23,22,22,22,28,,28,28,31,31,,31,,31,34,34,34,31,31,,31,18,18,18,18,,18,18,13,13,13,13,15,,15,15,15,,15,15,,15,,26,26,26,26,,26,,10,10,14,14,,14,14,14,,,14,,,14,14,14
82044,Cefalù,Lascari,3647,13,16,16,16,16,16,,19,21,23,22,22,22,,14,14,14,12,,12,,16,16,16,12,12,12,,12,12,12,15,11,,15,15,11,11,11,13,13,,13,13,8,,8,8,,8,,6,6,6,6,,6,,6,6,6,6,,6,6,5,,,6,,,3,3,3
82045,Lercara Friddi,Lercara Friddi,6626,7,3,3,3,4,3,,5,7,8,9,12,12,,9,13,14,16,,17,,17,17,20,22,30,30,,30,33,37,36,39,,39,38,38,38,38,38,38,,37,37,51,,51,51,,51,,51,32,28,28,,28,,24,23,23,23,,23,23,19,,,19,,,19,19,9
82046,Misilmeri,Marineo,6393,17,17,17,17,17,17,,17,17,17,19,19,19,,41,41,41,60,,60,,85,85,85,85,85,85,,85,85,72,72,72,,72,72,72,72,44,44,44,,42,42,42,,42,42,,42,,42,42,24,24,,24,,24,21,21,21,,21,21,13,,,13,,,13,13,13
82047,Misilmeri,Mezzojuso,2797,42,43,43,43,43,43,,43,43,43,53,53,53,,53,53,53,53,,53,,53,53,53,23,23,23,,23,23,23,23,23,,23,23,16,16,16,16,16,,16,16,16,,16,16,,16,,16,16,3,3,,3,,3,3,3,3,,3,3,3,,,3,,,3,3,3
82048,Misilmeri,Misilmeri,29292,60,67,72,72,72,75,,75,75,75,81,81,96,,96,96,109,109,,109,,230,340,340,350,364,410,,410,386,386,381,381,,445,445,445,462,460,460,451,,457,441,450,,450,450,,450,,450,217,217,217,,190,,163,110,110,110,,105,105,96,,,96,,,94,94,94
82049,Palermo,Monreale,38963,4,0,0,0,0,32,,32,56,56,56,56,53,,53,58,57,57,,59,,57,57,57,65,65,65,,75,77,77,77,87,,89,89,89,84,84,84,87,,87,87,87,,83,83,,83,,83,79,79,79,,79,,77,77,75,71,,71,71,69,,,71,,,71,77,77
